LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
65m         Normal    Provisioning            persistentvolumeclaim/content-webnote-3   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-3"
65m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-3 Pod webnote-3 in StatefulSet webnote success
65m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-3   Successfully provisioned volume pvc-7048e30f-d102-4d4d-b31b-dfc98d956452
65m         Normal    Started                 pod/webnote-3                             Container started
65m         Normal    Scheduled               pod/webnote-3                             Successfully assigned dso202-practical-02/webnote-3 to worker-node-1
65m         Normal    Pulled                  pod/webnote-3                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
65m         Normal    Created                 pod/webnote-3                             Container created
65m         Normal    Created                 pod/webnote-3                             Container created
65m         Normal    Pulled                  pod/webnote-3                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
65m         Normal    Started                 pod/webnote-3                             Container started
65m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
65m         Normal    Killing                 pod/webnote-3                             Stopping container nginx
65m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-3 in StatefulSet webnote successful
64m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
64m         Normal    Started                 pod/webnote-2                             Container started
64m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
64m         Normal    Created                 pod/webnote-2                             Container created
64m         Normal    Created                 pod/webnote-2                             Container created
64m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
64m         Normal    Started                 pod/webnote-2                             Container started
61m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-2 in StatefulSet webnote successful
61m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
61m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
61m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-2 in StatefulSet webnote successful
61m         Normal    Started                 pod/webnote-2                             Container started
61m         Normal    Created                 pod/webnote-2                             Container created
61m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
61m         Normal    Pulling                 pod/webnote-2                             Pulling image "nginx:1.31-alpine"
61m         Normal    Pulled                  pod/webnote-2                             Successfully pulled image "nginx:1.31-alpine" in 31.975s (31.975s including waiting). Image size: 26279045 bytes.
61m         Normal    Created                 pod/webnote-2                             Container created
61m         Normal    Started                 pod/webnote-2                             Container started
57m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-1 in StatefulSet webnote successful
57m         Normal    Killing                 pod/webnote-1                             Stopping container nginx
